"","x"
"1",145.727937044025
"2",165.970329485506
"3",145.842034747679
"4",177.64023109342
"5",139.306595996015
"6",157.482229964991
"7",175.081819506804
"8",161.295992184739
"9",183.722273380884
"10",188.016093495034
"11",180.191125764675
"12",157.467321313503
"13",199.310612322199
"14",167.214368603518
"15",157.922524417077
"16",147.387741183434
"17",160.794759870978
"18",132.635517186502
"19",183.244799528513
"20",195.249603887367
"21",170.299556248597
"22",198.689138895051
"23",178.644528830337
"24",175.994504244536
"25",129.635424055844
"26",149.441501487891
"27",145.586176493424
"28",157.03023927063
"29",186.06974436241
"30",191.559076075651
"31",164.522643503054
"32",129.579509942542
"33",139.099942175412
"34",142.741592110116
"35",168.761362722879
"36",198.461196620153
"37",93.0553877329421
"38",164.630764619765
"39",180.539122955043
"40",168.396479904434
"41",136.178977068528
"42",150.613347164206
"43",157.275889497081
"44",192.007515894975
"45",173.230345957175
"46",176.373555470287
